StateName,JulyValue20,JulyValue21,JulyValue22
NY,489474,553452,618517
CA,685733,815943,933282
IL,245313,277631,313828
TX,263109,313134,397905
PA,258636,301935,338231
TX,225857,259225,312533
DC,448911,512803,555266
FL,310973,356273,467759
GA,251496,301376,382616
MA,505870,588656,661141
CA,1112141,1309817,1458909
MI,184618,216974,243049
CA,392521,488882,585817
AZ,300418,392363,478985
WA,543951,666783,781617
MN,302217,344953,377399
CA,616451,776488,907871
MO,188453,218534,244294
FL,235305,290807,386326
MD,302963,344784,377480
CO,453546,545603,638061
PA,166493,197339,211871
OR,431901,513562,582093
NC,253059,304300,388648
CA,433851,533912,615712
TX,238439,278774,339556
FL,265333,302816,399709
OH,197043,229755,262746
OH,165503,195680,220420
MO,215625,252778,288154
NV,296975,360260,453764
OH,224744,261000,301209
IN,195323,228335,271777
CA,1215432,1455332,1619785
TX,347665,492215,582073
VA,255701,289712,328320
TN,299281,347592,457360
RI,330958,395863,452465
WI,212865,249557,271771
FL,240451,286576,375228
TN,167521,195317,233002
OK,165784,186503,218494
KY,188896,215304,241642
CT,244353,287061,323880
VA,260267,295577,335294
LA,213815,238391,271110
NY,180937,222337,249405
NC,291170,348849,462285
AL,185657,211553,245833
UT,404120,510059,606689
NY,166442,194702,218475
MI,228136,267804,310956
AZ,232017,290755,348546
HI,720076,813147,942506
OK,157798,179106,213312
CA,277209,337197,390953
MA,309422,372817,422124
CT,421920,510558,574117
NM,225635,267155,315816
NY,212044,244292,276151
NE,211160,243697,272893
CT,240478,296873,333128
CA,238758,285243,339654
TN,206652,247647,317268
SC,215879,244361,305625
CA,620685,749816,862768
PA,221679,265025,303316
TX,141488,166896,198095
LA,192156,206059,236030
OH,144752,168966,190794
TX,126709,142293,171786
SC,169085,193193,238556
NC,165280,193103,233676
OH,161460,184064,209380
FL,288620,352600,502186
AR,155451,172199,197368
CA,382850,489328,562926
SC,285395,334247,421380
NY,155378,177652,200830
CO,339134,425432,493906
NC,165777,193886,239382
KS,149894,170314,191597
MA,246574,286077,320626
FL,249436,302797,430131
ID,334635,482814,511618
OH,132089,151029,170015
WI,294853,333215,378026
FL,199132,236929,316009
UT,345767,446334,530978
FL,230811,274311,360222
IA,213839,237824,267483
MS,142114,161985,186112
OH,104374,128005,147694
GA,163917,187635,222695
PA,124799,149199,176105
PA,199573,226669,257319
FL,233263,280752,365057
TN,188393,224003,276919
WA,295689,379578,451367
UT,385855,501080,589568
PA,242347,283480,324538
CA,343721,412537,472100
ME,339068,418322,477252
NC,280337,332089,437424
CA,650130,756199,829322
KY,202522,229641,269696
LA,162517,174420,196372
MI,172319,194891,218952
AR,204732,249015,310329
FL,199877,236047,297031
CA,238990,282828,334142
LA,118699,124849,135741
MO,166879,193255,238408
PA,198243,235891,262635
TX,175044,193623,221998
MI,132446,158925,175925
NV,396342,504232,575242
NC,284986,336493,408491
FL,248155,300197,411402
CA,657903,799154,967590
AL,208383,247569,306217
IN,159642,184172,212087
CA,615297,732822,843937
CA,460945,549894,614440
AL,134595,157162,181800
PA,197662,226630,266170
TX,115716,138304,170777
TX,167372,199895,262077
OH,142667,165738,185719
TX,134693,145399,162166
NH,322360,391871,448083
OR,324822,391711,447693
AK,314808,323434,364410
IL,137094,147831,161632
IL,116046,127413,142500
SC,217932,251129,341674
AL,140928,158113,184714
DE,270599,320781,384644
MS,146486,164881,199257
FL,188149,216421,253287
NJ,260551,306445,356133
NC,138541,160627,192624
NC,162526,190482,227019
WV,105763,115155,127804
OR,332412,404077,464943
IL,126257,147307,169416
GA,204184,232506,294837
MI,304284,337100,380880
FL,170320,198260,272308
MI,184291,214874,243357
FL,350056,425488,638048
IN,145695,169967,198538
SC,167459,192774,239789
IN,147536,171425,190606
TN,138941,156987,184057
VA,191031,217325,249485
WI,193570,225823,254201
NE,213577,248231,275570
CO,425253,489302,585636
NY,140086,166066,188684
GA,129682,147188,168691
CO,578557,691242,809342
TX,154974,174894,206256
PA,136290,156997,180767
AR,115000,126835,146198
MN,175672,198919,232226
NJ,211979,258523,310250
CT,252471,306842,342922
CA,640343,745337,887048
FL,207168,235234,286292
CA,872799,1091642,1291728
TN,187714,218904,273592
IA,166380,184342,207307
CA,284398,350156,423167
NC,271066,309568,396550
WA,315952,363854,438413
CO,390353,450684,538171
TX,173247,205640,260093
WA,367323,459177,539452
TX,147828,170643,201695
NY,126749,146867,164248
MD,208350,246604,286926
WA,412250,503263,584772
TX,160632,165486,186512
VA,191547,215308,254962
WA,251964,294054,340184
FL,295525,352355,446948
KS,137893,156490,176193
GA,113315,129958,158997
IL,148809,164309,185135
AL,172163,189854,218998
TX,217200,234940,278534
SD,235352,267567,311761
WV,102232,111700,124382
WI,202039,232578,269054
CA,326289,376559,414164
VA,318312,358421,403280
NH,230918,273603,343272
MA,453631,585817,695276
TX,154416,166450,200095
VT,321346,358544,425516
AZ,329506,428002,513674
IL,138146,147299,166961
TX,185782,208603,252352
NM,185508,217304,254497
ND,234688,254050,282439
LA,163680,168677,184170
MN,245371,274094,305481
SC,127530,141331,168192
OR,333956,392865,443756
IN,177674,203299,236864
WA,437142,526406,648600
AZ,248122,317484,382051
MI,106650,128446,145678
LA,193668,198159,230283
TN,160127,181916,223862
IN,173187,200779,237483
AZ,172519,215276,269262
WI,160390,186914,210174
GA,222599,250872,310961
CT,254921,318039,353107
MN,225743,259252,295999
SC,324479,373174,503060
IL,155943,172344,207076
HI,397058,457360,602713
FL,242262,276311,353064
NY,248580,335421,375557
AL,249663,290466,359133
GA,246091,292224,380580
GA,152906,168413,204358
VA,201612,225346,250873
NC,175383,196036,238656
CA,280932,342979,380864
LA,138636,150560,167683
MO,138195,151608,184275
CA,223170,284915,335625
IN,99653,110855,127460
MI,156586,186382,216648
PA,183430,245570,297448
IA,146675,162087,180460
NC,152008,0,215413
IA,146509,156314,174336
WI,168214,197706,220916
CA,316782,377013,443483
TX,141065,158980,184174
MO,206754,235846,273536
DE,241172,276911,324080
WI,199246,226874,261126
WI,162258,187715,211467
MI,158616,179658,205834
FL,232285,285581,410549
IN,214461,244194,280716
CO,210835,255242,311188
MT,271882,309276,372702
KY,173692,181036,214079
OR,443047,597511,702859
GA,112377,123905,144022
NJ,147334,186897,215051
MI,189452,218525,254647
HI,730201,800381,1086302
IL,117176,132218,151190
PA,260426,278197,313783
ME,164844,208305,243076
LA,153078,155800,172278
AL,141313,165207,194269
CA,243029,282791,338328
IA,234403,245543,280207
NC,120100,145955,176546
MI,189239,215011,235922
TX,103544,126031,148868
NC,172942,206435,269734
CA,295690,345035,421326
MO,164695,187655,216869
PA,189137,218039,245515
TX,117118,129143,148620
KY,163669,189241,217206
PA,88285,110026,128887
OH,105014,115737,128951
AL,122515,140950,168360
CO,282402,335765,393671
NH,280350,337455,406240
AL,128362,140143,164887
NM,395904,458372,553601
PA,83251,91921,104156
MI,255159,308281,366876
MS,148578,159986,181059
GA,148239,173349,210917
TX,264805,266815,290616
FL,176789,217002,284224
AL,211895,235707,276579
GA,131839,150450,179240
ID,375478,513487,576220
OH,123613,151677,164958
UT,353334,457226,571155
FL,245022,280063,394366
TX,0,181760,199206
CA,698543,839517,926148
MS,127014,136952,154930
MI,128000,150391,171881
NY,110233,125718,158383
CA,333693,392841,486490
SD,234608,280899,336844
AZ,383438,499566,639707
NC,80238,90370,105852
WI,180048,199196,226090
WI,207500,235310,264538
PA,197833,228961,262363
ID,269204,344148,414504
AZ,169059,194475,238588
MA,243638,293336,348493
OK,99827,108456,123954
NM,147914,176490,213885
TN,126242,150921,182220
WV,167608,188980,206495
NY,192359,222965,260063
VA,252032,291183,331892
MO,123939,140637,159804
PA,124636,130666,148805
NC,166348,184410,226127
IL,102810,112717,123547
KY,103700,116452,134569
UT,300781,372382,481165
VA,232001,257583,286770
WV,83609,88171,97597
OH,120531,145907,168808
OH,88412,98223,110313
NC,136813,157999,194183
ME,187506,242784,277401
LA,166961,177143,209453
AR,137787,150233,182408
TX,185791,217773,286560
AL,107138,126308,146680
VA,209045,232605,258970
IN,99547,115906,138419
WA,403725,492477,593903
OR,295296,348212,413956
NY,150301,166114,188214
PA,173661,181937,202903
TN,183710,209243,264532
WI,161231,186548,212885
ND,275617,296324,323349
KY,135264,149845,175302
NC,180599,210028,263143
OH,234843,267370,392561
TN,160586,183821,232958
IL,151269,165967,189715
GA,199745,227895,287980
NY,79424,97679,117523
TX,163108,176664,196905
IN,158555,184196,222034
MI,217625,249838,296795
WA,381145,449258,542337
KS,214646,251423,278819
IL,91975,99655,114681
MT,366603,480476,597707
OH,111923,117702,134389
MI,114630,133566,155477
ME,197181,251000,294192
OR,236656,280437,335265
SC,132802,148318,175653
AZ,236927,309982,389239
MS,0,100872,110680
WV,81334,88054,99271
VA,127821,140929,157589
OH,117816,142742,164933
TN,170924,201470,254462
MD,305561,352830,385859
AL,97582,111114,133942
MD,96320,109964,126515
WA,305349,357498,418824
WI,242121,284018,317649
WI,150805,173512,193218
NY,229424,246989,298998
OH,116133,124809,153418
PA,223401,248223,282314
AR,65373,72483,83657
TN,168050,189942,251171
KY,173489,198329,226561
MI,165701,189462,229720
ID,237620,312410,384668
NY,110683,126677,148770
FL,151813,180480,235043
CA,473703,625147,664825
KY,114480,126907,147524
ND,211846,223587,250421
NC,157024,177505,213710
AK,182846,197694,188854
NJ,422057,518579,634345
MN,219751,241839,275037
GA,140965,159829,201886
MO,160946,180714,213189
AR,160778,193895,234701
SC,119816,133157,157202
PA,111629,126120,141259
WV,108628,116653,130601
TX,0,0,217649
AL,111188,124683,144848
IA,189825,206204,242281
FL,299418,310966,435667
AL,142261,163147,191872
KS,205936,226373,244177
WV,114420,0,146102
OH,126226,149086,176721
SC,96559,104668,121049
WY,312800,317083,373068
PA,111138,126529,154473
MN,217237,255990,306157
MT,373236,517142,720969
TN,264798,340250,449215
IA,197703,0,235469
MT,433179,518675,648167
WA,235117,291045,352349
PA,129020,141093,153468
NY,103242,116458,133120
PA,107971,120994,134432
WI,176457,202051,232566
NC,255076,300343,387443
CA,413999,472322,537075
OR,206141,254023,298335
TX,128201,142298,164912
OH,133002,144403,171729
OR,390196,442694,528200
PA,175224,191354,211883
MS,106251,114082,130879
AR,121932,132878,155138
MO,192666,218546,236648
WI,231996,266948,302427
MI,158895,189429,213348
LA,114309,133303,145117
ID,219383,266827,326208
IN,122019,139148,159660
OR,310980,377750,413388
TX,180771,202254,237152
NY,150770,160041,189120
NE,165999,184909,204952
PA,106079,115892,129622
IL,68512,75076,82618
WI,136893,161658,183757
MT,209223,243104,300567
NC,125418,142030,175259
AL,147001,165178,197133
NY,87498,93963,133664
NY,139702,153844,179025
OH,86858,96964,107625
TX,167444,220922,283329
WA,434151,546785,646105
OH,130823,149241,166599
GA,153358,163276,195393
PA,120635,133199,148568
IN,193131,218693,254706
OK,158307,166120,189059
IL,121941,133984,148387
NH,219291,264210,320465
OH,148360,167743,204127
AR,118165,138528,164330
IN,183036,204989,233164
NC,75522,84512,98395
WA,272379,0,369178
WY,231869,241827,281285
MT,296078,377996,451772
OH,168559,182671,204877
WI,128885,150185,168525
FL,140830,164367,206338
SC,182610,210528,270216
NC,134924,151529,177715
CO,566794,676945,801519
FL,635221,738917,1015037
WA,217648,274100,358311
NM,166334,184831,205228
WA,337886,408638,519390
MA,230148,270673,313053
OK,86437,93636,106585
KY,154167,176292,202591
MI,126591,147838,162873
MI,144701,164346,181717
GA,155522,165200,212827
IN,87164,98306,115185
WI,182677,209127,231246
ND,275212,281321,264164
OK,105623,115688,141677
NC,141259,160144,192866
IN,104869,116977,129679
TN,107651,135346,191697
VA,83869,92044,103010
NC,143692,168771,204518
FL,0,192302,234324
HI,639998,692153,925503
MI,163921,187482,204638
GA,159649,173439,187276
OH,105166,120172,135331
NC,288937,334957,421135
OR,202878,250422,300211
WI,111793,127927,139530
NM,111182,127428,144077
TX,150044,160322,183624
MO,123493,144992,177643
IL,83977,96114,102816
OH,141076,158486,171682
NM,174422,194370,216629
CA,251259,307982,352304
TX,153562,168566,193082
KS,103219,116554,126228
MN,253358,300021,323283
NC,171579,193433,226669
MI,162193,190257,214565
NM,140428,154463,173696
CA,247656,297352,322052
NY,273833,342792,379945
KY,144795,166895,189881
OR,250092,300112,370973
WA,280792,324288,408758
PA,151410,166018,181894
NY,157021,170974,188621
IA,92621,100003,109412
WI,209119,226867,266782
OH,135748,152951,168815
KS,132230,148418,162462
VT,194632,224200,260489
VA,75882,82014,89892
MI,130871,159226,193015
TX,71951,81294,96492
OH,125348,140613,155004
OH,162823,187152,211511
ID,253358,309643,358373
WA,310553,413125,469926
OK,90030,95516,108318
GA,245389,299407,373383
SC,245448,278516,364180
NH,285730,356180,437501
NY,144967,158541,182781
NC,177085,208863,276736
MS,122195,133846,150013
OH,124487,141330,157691
VT,236566,285617,338507
NC,93988,106601,126822
IL,102715,110056,119083
TX,112323,125512,148501
GA,110409,122692,143300
MS,131611,141095,157927
WV,97012,107343,120014
NC,154437,183743,228966
MN,244565,274847,302063
OH,113283,127753,142691
WV,112409,122105,136729
TN,174512,215778,277958
MS,143558,157563,178827
NY,121277,144453,165924
CA,0,353802,409023
SC,94544,106053,119548
NV,339119,427289,487030
GA,152140,172114,207212
GA,136607,154586,183428
GA,99025,112801,132902
PA,88513,97761,108089
IN,157129,179277,200327
LA,122910,127385,140732
TX,144313,160526,183656
OR,199513,248630,292145
AZ,237599,295186,406923
MS,108303,115070,125633
IL,137353,153357,179991
AL,113859,127013,145127
KY,121441,136019,154831
OH,147219,167470,184615
MS,96546,102246,112871
OH,144357,162610,177094
IL,78949,84791,91627
MO,177356,205316,240636
NE,210149,233260,256328
LA,102592,106670,117472
MO,157156,170429,185992
KY,118800,136313,156024
TN,142140,158087,193885
CO,770741,906468,1258585
NV,290079,357278,417309
IA,124581,134854,147241
NY,118116,128427,142516
MN,188877,204356,230359
CO,430542,524701,677644
WI,139190,156203,171321
NC,0,373546,475849
OK,120378,131886,154115
TX,131600,151468,177440
NV,305568,320724,370230
ID,307489,355827,420197
GA,182506,210697,257937
AL,100182,109148,123558
NY,122794,136206,151838
AL,136532,151981,169038
TX,114377,134205,159916
TX,295772,329558,350181
IN,100497,116169,130917
OH,158872,180260,200773
NY,135996,147261,161268
IA,0,146419,173196
TX,132062,145246,167978
NM,152646,170100,192506
NE,165517,184126,204704
NC,146498,165167,197790
TX,121471,135269,161465
IL,92098,101087,110749
MS,181910,193817,219948
IA,105365,112638,122176
MI,125667,144083,160953
OK,97270,105405,120456
IN,145593,167155,189474
AZ,171357,206833,249030
MS,205119,218543,244493
LA,109405,115106,128634
